timestamp,ecg_measurement,qrs_detected
9.841841600000000000e+07,1.955034255900000018e+00,0.000000000000000000e+00
9.842233600000000000e+07,1.984359741200000027e+00,0.000000000000000000e+00
9.842626000000000000e+07,2.043010711600000029e+00,0.000000000000000000e+00
9.843016400000000000e+07,2.072336196799999808e+00,0.000000000000000000e+00
9.843407600000000000e+07,2.052785873399999961e+00,0.000000000000000000e+00
9.843798800000000000e+07,2.038123130699999841e+00,0.000000000000000000e+00
9.844190000000000000e+07,2.062561035099999884e+00,0.000000000000000000e+00
9.844582000000000000e+07,2.106549262999999783e+00,0.000000000000000000e+00
9.844974000000000000e+07,2.130987405700000004e+00,0.000000000000000000e+00
9.845366000000000000e+07,2.106549262999999783e+00,0.000000000000000000e+00
9.845757200000000000e+07,2.086998939499999928e+00,0.000000000000000000e+00
9.846149200000000000e+07,2.091886520300000107e+00,0.000000000000000000e+00
9.846540400000000000e+07,2.145650148300000115e+00,0.000000000000000000e+00
9.846932400000000000e+07,2.184750795299999826e+00,0.000000000000000000e+00
9.847323600000000000e+07,2.174975633599999902e+00,0.000000000000000000e+00
9.847714800000000000e+07,2.150537729199999859e+00,0.000000000000000000e+00
9.848105200000000000e+07,2.165200471799999971e+00,0.000000000000000000e+00
9.848497200000000000e+07,2.194525957100000202e+00,0.000000000000000000e+00
9.848890000000000000e+07,2.228739023200000169e+00,0.000000000000000000e+00
9.849282000000000000e+07,2.209188699699999869e+00,0.000000000000000000e+00
9.849673200000000000e+07,2.170088052700000159e+00,0.000000000000000000e+00
9.850064400000000000e+07,2.165200471799999971e+00,0.000000000000000000e+00
9.850455600000000000e+07,2.209188699699999869e+00,0.000000000000000000e+00
9.850847600000000000e+07,2.253176927500000204e+00,0.000000000000000000e+00
9.851240400000000000e+07,2.233626603999999904e+00,0.000000000000000000e+00
9.851632400000000000e+07,2.199413537899999938e+00,0.000000000000000000e+00
9.852024400000000000e+07,2.204301118800000125e+00,0.000000000000000000e+00
9.852415200000000000e+07,2.253176927500000204e+00,0.000000000000000000e+00
9.852806800000000000e+07,2.287389993600000171e+00,0.000000000000000000e+00
9.853198800000000000e+07,2.272727251000000059e+00,0.000000000000000000e+00
9.853590800000000000e+07,2.223851442299999981e+00,0.000000000000000000e+00
9.853983600000000000e+07,2.199413537899999938e+00,0.000000000000000000e+00
9.854376400000000000e+07,2.233626603999999904e+00,0.000000000000000000e+00
9.854767600000000000e+07,2.258064508399999948e+00,0.000000000000000000e+00
9.855158800000000000e+07,2.248289346600000016e+00,0.000000000000000000e+00
9.855550800000000000e+07,2.199413537899999938e+00,0.000000000000000000e+00
9.855943600000000000e+07,2.165200471799999971e+00,0.000000000000000000e+00
9.856335600000000000e+07,2.160312890999999791e+00,0.000000000000000000e+00
9.856726800000000000e+07,2.170088052700000159e+00,0.000000000000000000e+00
9.857116400000000000e+07,2.130987405700000004e+00,0.000000000000000000e+00
9.857506800000000000e+07,2.052785873399999961e+00,0.000000000000000000e+00
9.857899200000000000e+07,1.984359741200000027e+00,0.000000000000000000e+00
9.858292000000000000e+07,1.964809417699999949e+00,0.000000000000000000e+00
9.858684000000000000e+07,1.969696998499999907e+00,0.000000000000000000e+00
9.859075600000000000e+07,1.950146675100000060e+00,0.000000000000000000e+00
9.859468000000000000e+07,1.896383190099999894e+00,0.000000000000000000e+00
9.859859600000000000e+07,1.852394962300000003e+00,0.000000000000000000e+00
9.860252800000000000e+07,1.857282543099999961e+00,0.000000000000000000e+00
9.860645600000000000e+07,1.862170123999999927e+00,0.000000000000000000e+00
9.861037600000000000e+07,1.867057704899999893e+00,0.000000000000000000e+00
9.861429200000000000e+07,1.832844638799999926e+00,0.000000000000000000e+00
9.861820400000000000e+07,1.813294315300000070e+00,0.000000000000000000e+00
9.862213200000000000e+07,1.842619800500000071e+00,0.000000000000000000e+00
9.862604800000000000e+07,1.896383190099999894e+00,0.000000000000000000e+00
9.862996800000000000e+07,1.925708675299999895e+00,0.000000000000000000e+00
9.863389200000000000e+07,1.891495609199999928e+00,0.000000000000000000e+00
9.863780800000000000e+07,1.867057704899999893e+00,0.000000000000000000e+00
9.864171600000000000e+07,1.891495609199999928e+00,0.000000000000000000e+00
9.864564000000000000e+07,1.994134902899999950e+00,0.000000000000000000e+00
9.864955600000000000e+07,2.145650148300000115e+00,0.000000000000000000e+00
9.865347600000000000e+07,2.331378221500000070e+00,0.000000000000000000e+00
